"","Metabolite","KEGG_ID","Num_Sig_Genes","Gene_Count","Expression_Score","Normalized_Score"
"753","Liothyronine","C02465",4,9,0.444444444444444,0.444444444444444
"812","N-Acetylmannosamine","C00645",4,9,0.444444444444444,0.444444444444444
"903","Phenylethylamine","C05332",4,9,0.444444444444444,0.444444444444444
"951","Pyridoxine","C00314",4,9,0.444444444444444,0.444444444444444
"330","Ammonia","C00014",34,77,0.441558441558442,0.441558441558442
"424","Coenzyme A","C00010",64,145,0.441379310344828,0.441379310344828
"905","Phosphatidylinositol-3,4,5-trisphosphate","C05981",33,75,0.44,0.44
"948","Putrescine","C00134",11,25,0.44,0.44
"583","Fructose 6-phosphate","C00085",7,16,0.4375,0.4375
"631","Glycine","C00037",17,39,0.435897435897436,0.435897435897436
"960","QH2","C00390",20,46,0.434782608695652,0.434782608695652
"645","Guanosine monophosphate","C00144",83,191,0.43455497382199,0.43455497382199
"922","PIP3(16:0/16:0)","C00626",33,76,0.434210526315789,0.434210526315789
"898","Pentadecanoic acid","C16537",23,53,0.433962264150943,0.433962264150943
"796","Myristic acid","C06424",25,58,0.431034482758621,0.431034482758621
"950","Pyridoxal 5'-phosphate","C00018",34,79,0.430379746835443,0.430379746835443
"92","2-Ketobutyric acid","C00109",9,21,0.428571428571429,0.428571428571429
"134","3-Deoxy-D-glycero-D-galacto-2-nonulosonic acid","None",3,7,0.428571428571429,0.428571428571429
"140","3-Hydroxyanthranilic acid","C00632",3,7,0.428571428571429,0.428571428571429
"243","5-Methoxytryptamine","C05659",3,7,0.428571428571429,0.428571428571429
"297","Adenine","C00147",3,7,0.428571428571429,0.428571428571429
"300","Adenosine 3',5'-diphosphate","C00054",15,35,0.428571428571429,0.428571428571429
"409","Choloyl-CoA","C01794",3,7,0.428571428571429,0.428571428571429
"442","Cytidine monophosphate","C00055",15,35,0.428571428571429,0.428571428571429
"451","D-Erythrose 4-phosphate","C00279",3,7,0.428571428571429,0.428571428571429
"452","D-Fructose","C02336",6,14,0.428571428571429,0.428571428571429
"524","Dihydroneopterin triphosphate","C04895",3,7,0.428571428571429,0.428571428571429
"611","Gluconolactone","C00198",3,7,0.428571428571429,0.428571428571429
"850","Nicotinic acid adenine dinucleotide","C00857",3,7,0.428571428571429,0.428571428571429
"924","Poly-N-acetyllactosamine","None",3,7,0.428571428571429,0.428571428571429
"972","Risperidone","C06861",3,7,0.428571428571429,0.428571428571429
"989","Se-Adenosylselenohomocysteine","C05692",3,7,0.428571428571429,0.428571428571429
"996","Selenomethionine","C05335",3,7,0.428571428571429,0.428571428571429
"1007","Spermine","C00750",11,26,0.423076923076923,0.423076923076923
"298","Adenosine","C00212",8,19,0.421052631578947,0.421052631578947
"359","Beta-D-Fructose 6-phosphate","C05345",8,19,0.421052631578947,0.421052631578947
"907","Phosphoadenosine phosphosulfate","C00053",16,38,0.421052631578947,0.421052631578947
"578","Formyl-CoA","C00798",5,12,0.416666666666667,0.416666666666667
"585","Fumaric acid","C00122",5,12,0.416666666666667,0.416666666666667
"808","N-Acetylgalactosamine","C01074",5,12,0.416666666666667,0.416666666666667
"937","Prostaglandin E2","C00584",5,12,0.416666666666667,0.416666666666667
"840","NADP","C00006",77,186,0.413978494623656,0.413978494623656
"944","PS(16:0/16:0)","C02737",15,37,0.405405405405405,0.405405405405405
"7","(3S)-3-Hydroxyadipyl-CoA","C14145",2,5,0.4,0.4
"73","1D-myo-Inositol 3-phosphate","C04006",2,5,0.4,0.4
"148","3-Mercaptopyruvic acid","C00957",4,10,0.4,0.4
"156","3-Methylhistidine","C01152",2,5,0.4,0.4
"181","3a,7a-Dihydroxy-5b-cholestanoyl-CoA","C04644",2,5,0.4,0.4
"191","4-(2-Aminophenyl)-2,4-dioxobutanoic acid","C01252",2,5,0.4,0.4
"288","9-cis-Retinoic acid","C15493",2,5,0.4,0.4
"326","Alpha-Lactose","C00243",2,5,0.4,0.4
"334","Androstanedione","C00674",2,5,0.4,0.4
"358","Beta-D-Fructose 2-phosphate","C03267",2,5,0.4,0.4
"381","Capric acid","C01571",2,5,0.4,0.4
"411","Chondroitin 4-sulfate","C00634",2,5,0.4,0.4
"425","Coenzyme Q10","C11378",4,10,0.4,0.4
"447","D-4'-Phosphopantothenate","C03492",2,5,0.4,0.4
"499","Deoxyuridine","C00526",2,5,0.4,0.4
"527","Dihydroxyacetone","C00184",2,5,0.4,0.4
"530","Dimethylallylpyrophosphate","C00235",2,5,0.4,0.4
"539","Docosanoyl-CoA","None",2,5,0.4,0.4
"591","Galactosylglycerol","C05401",2,5,0.4,0.4
"606","GDP-L-fucose","C00325",4,10,0.4,0.4
"608","Geranylgeranyl-PP","C00353",2,5,0.4,0.4
"657","Heptanoic acid","C17714",2,5,0.4,0.4
"663","Homovanillic acid","C05582",2,5,0.4,0.4
"685","Iduronic acid","C06472",4,10,0.4,0.4
"695","Iodide","C00708",2,5,0.4,0.4
"712","L-3-Hydroxykynurenine","C03227",2,5,0.4,0.4
"770","LysoSM(d18:1)","C03640",4,10,0.4,0.4
"809","N-Acetylgalactosamine 4-sulphate","C16265",2,5,0.4,0.4
"823","N-Methyltyramine","C02442",2,5,0.4,0.4
"991","Se-Methylselenocysteine","C05689",2,5,0.4,0.4
"1032","Tetradecanoyl-CoA","C02593",6,15,0.4,0.4
"435","Cyclic AMP","C00575",61,153,0.398692810457516,0.398692810457516
"767","LysoPC(O-18:0)","C04317",7,18,0.388888888888889,0.388888888888889
"890","PC(16:0/16:0)","C00157",27,70,0.385714285714286,0.385714285714286
"891","PC(18:1(9Z)e/2:0)","C04598",27,70,0.385714285714286,0.385714285714286
"104","2-Phosphoglyceric acid","None",5,13,0.384615384615385,0.384615384615385
"893","PC(O-16:0/18:2(9Z,12Z))","None",25,66,0.378787878787879,0.378787878787879
"34","1-Phosphatidyl-D-myo-inositol","C01194",9,24,0.375,0.375
"360","Beta-D-Galactose","C00962",3,8,0.375,0.375
"494","Deoxyguanosine","C00330",3,8,0.375,0.375
"546","Dolichyl phosphate D-mannose","C03862",3,8,0.375,0.375
"702","Isopentenyl pyrophosphate","C00129",3,8,0.375,0.375
"720","L-Carnitine","C15025",6,16,0.375,0.375
"730","L-Kynurenine","C00328",3,8,0.375,0.375
"756","Lithium","C15473",3,8,0.375,0.375
"847","Nicotinamide riboside","C03150",3,8,0.375,0.375
"990","Se-Adenosylselenomethionine","C05691",3,8,0.375,0.375
"1004","Sorbitol","C00794",3,8,0.375,0.375
"1073","Ubiquinol 8","None",3,8,0.375,0.375
"1097","Xanthosine","C01762",3,8,0.375,0.375
"841","NADPH","C00005",68,182,0.373626373626374,0.373626373626374
"649","Heme","C00032",59,158,0.373417721518987,0.373417721518987
"728","L-Glutamine","C00064",10,27,0.37037037037037,0.37037037037037
"408","Cholic acid","C00695",11,30,0.366666666666667,0.366666666666667
"221","4a-Carboxy-4b-methyl-5a-cholesta-8,24-dien-3b-ol","C15808",4,11,0.363636363636364,0.363636363636364
"325","Alpha-ketoisovaleric acid","C00141",4,11,0.363636363636364,0.363636363636364
"490","Deoxyadenosine monophosphate","C00360",4,11,0.363636363636364,0.363636363636364
"1053","Thymidine","C00214",4,11,0.363636363636364,0.363636363636364
"876","Oxygen","C00007",65,180,0.361111111111111,0.361111111111111
"998","Serotonin","C00780",9,25,0.36,0.36
"892","PC(dm16:0/dm16:0)","None",14,39,0.358974358974359,0.358974358974359
"775","Mannose 6-phosphate","C00275",5,14,0.357142857142857,0.357142857142857
"463","D-Mannose","C00159",17,48,0.354166666666667,0.354166666666667
"350","Atorvastatin","C06834",6,17,0.352941176470588,0.352941176470588
"669","Hydrogen peroxide","C00027",18,51,0.352941176470588,0.352941176470588
"779","Menadione","C05377",8,23,0.347826086956522,0.347826086956522
"343","Arachidonic acid","C00219",34,101,0.336633663366337,0.336633663366337
"6","(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid","None",4,12,0.333333333333333,0.333333333333333
"33","1-Phosphatidyl-1D-myo-inositol 3-phosphate","C04549",1,3,0.333333333333333,0.333333333333333
"53","13-HETE","None",1,3,0.333333333333333,0.333333333333333
"87","2-Hydroxybutyric acid","C05984",2,6,0.333333333333333,0.333333333333333
"123","27-Hydroxycholesterol","C06340",1,3,0.333333333333333,0.333333333333333
"131","3-Dehydroquinate","C00944",1,3,0.333333333333333,0.333333333333333
"136","3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA","C11947",1,3,0.333333333333333,0.333333333333333
"177","3a,7a-Dihydroxy-5b-cholest-24-enoyl-CoA","C05447",1,3,0.333333333333333,0.333333333333333
"180","3a,7a-Dihydroxy-5b-cholestane","C05452",1,3,0.333333333333333,0.333333333333333
"183","3a,7a,12a-Trihydroxy-5b-24-oxocholestanoyl-CoA","C05467",2,6,0.333333333333333,0.333333333333333
"186","3a,7a,12a-Trihydroxy-5b-cholestanoyl-CoA","C05448",1,3,0.333333333333333,0.333333333333333
"187","3a,7a,12a,24-Tetrahydroxy-5b-cholestanoyl-CoA","C05450",1,3,0.333333333333333,0.333333333333333
"188","3a,7b,12a-Trihydroxyoxocholanyl-Glycine","None",1,3,0.333333333333333,0.333333333333333
"241","5-Hydroxylysine","C16741",1,3,0.333333333333333,0.333333333333333
"256","5'-Methylthioadenosine","C00170",1,3,0.333333333333333,0.333333333333333
"265","6-Phosphonoglucono-D-lactone","C01236",1,3,0.333333333333333,0.333333333333333
"274","7,8-Dihydroneopterin","C04874",2,6,0.333333333333333,0.333333333333333
"276","7a-Hydroxy-cholestene-3-one","C05455",1,3,0.333333333333333,0.333333333333333
"306","Adenosylcobalamin","C00194",1,3,0.333333333333333,0.333333333333333
"307","Adenylsuccinic acid","C03794",1,3,0.333333333333333,0.333333333333333
"311","ADP-ribose 2'-phosphate","C03246",1,3,0.333333333333333,0.333333333333333
"314","Aflatoxin B1","C06800",1,3,0.333333333333333,0.333333333333333
"331","Amylose","C00718",2,6,0.333333333333333,0.333333333333333
"338","Angiotensin II","C02135",3,9,0.333333333333333,0.333333333333333
"348","Aspirin","C01405",3,9,0.333333333333333,0.333333333333333
"352","Azelaic acid","C08261",1,3,0.333333333333333,0.333333333333333
"355","Benzoyl-CoA","C00512",1,3,0.333333333333333,0.333333333333333
"375","Cadaverine","C01672",1,3,0.333333333333333,0.333333333333333
"378","Calcitriol","C01673",1,3,0.333333333333333,0.333333333333333
"387","Carnosine","C00386",2,6,0.333333333333333,0.333333333333333
"398","Chenodeoxycholic acid","C02528",4,12,0.333333333333333,0.333333333333333
"422","Cob(I)alamin","C00853",1,3,0.333333333333333,0.333333333333333
"430","Corticosterone","C02140",3,9,0.333333333333333,0.333333333333333
"472","D-Serine","C00740",1,3,0.333333333333333,0.333333333333333
"473","D-Tagatose 1,6-bisphosphate","C03785",1,3,0.333333333333333,0.333333333333333
"498","Deoxyribose 5-phosphate","C00673",1,3,0.333333333333333,0.333333333333333
"504","Dextrin","C00721",2,6,0.333333333333333,0.333333333333333
"516","Diethylthiophosphate","C06607",1,3,0.333333333333333,0.333333333333333
"574","Fe3+","C14819",2,6,0.333333333333333,0.333333333333333
"575","Ferrocytochrome","C05183",1,3,0.333333333333333,0.333333333333333
"594","Gamma-Glutamylcysteine","C00669",1,3,0.333333333333333,0.333333333333333
"595","Ganglioside GA1 (d18:1/12:0)","C06136",1,3,0.333333333333333,0.333333333333333
"622","Glutaric acid","C00489",1,3,0.333333333333333,0.333333333333333
"637","Glyoxylic acid","C00048",3,9,0.333333333333333,0.333333333333333
"678","Hydroxypyruvic acid","C00168",1,3,0.333333333333333,0.333333333333333
"681","Hypotaurine","C00519",1,3,0.333333333333333,0.333333333333333
"691","Inositol 1,3,4,5,6-pentakisphosphate","C01284",1,3,0.333333333333333,0.333333333333333
"710","L-2-Aminoadipate adenylate","C05560",1,3,0.333333333333333,0.333333333333333
"715","L-Alanine","C00041",7,21,0.333333333333333,0.333333333333333
"723","L-Dopachrome","C01693",1,3,0.333333333333333,0.333333333333333
"745","Leukotriene A4","C00909",1,3,0.333333333333333,0.333333333333333
"757","Lithocholic acid","C03990",4,12,0.333333333333333,0.333333333333333
"830","N1-Acetylspermidine","C00612",1,3,0.333333333333333,0.333333333333333
"835","N6-Acetyl-L-lysine","C02727",1,3,0.333333333333333,0.333333333333333
"852","Nitric oxide","C00533",2,6,0.333333333333333,0.333333333333333
"863","Oleamide","C19670",2,6,0.333333333333333,0.333333333333333
"879","PA(16:0/16:0)","C00416",17,51,0.333333333333333,0.333333333333333
"880","PA(16:0e/18:0)","None",13,39,0.333333333333333,0.333333333333333
"927","Pregnenolone","C01953",3,9,0.333333333333333,0.333333333333333
"938","Prostaglandin F2a","C00639",1,3,0.333333333333333,0.333333333333333
"949","Pyridoxal","C00250",2,6,0.333333333333333,0.333333333333333
"966","Reduced Vitamin K (phylloquinone)","C05850",1,3,0.333333333333333,0.333333333333333
"973","Rosiglitazone","None",1,3,0.333333333333333,0.333333333333333
"974","S-(3-Methylbutanoyl)-dihydrolipoamide-E","C05119",1,3,0.333333333333333,0.333333333333333
"978","S-Adenosylmethioninamine","C01137",1,3,0.333333333333333,0.333333333333333
"1005","Sorbitol-6-phosphate","C00644",1,3,0.333333333333333,0.333333333333333
"1020","Succinyl-CoA","C00091",5,15,0.333333333333333,0.333333333333333
"1028","Taurocholic acid","C05122",8,24,0.333333333333333,0.333333333333333
"1054","Thymidine 3',5'-cyclic monophosphate","C00364",3,9,0.333333333333333,0.333333333333333
"1059","Topaquinone","None",1,3,0.333333333333333,0.333333333333333
"1071","Tryptamine","C00398",2,6,0.333333333333333,0.333333333333333
"1101","Xylulose 5-phosphate","C00231",2,6,0.333333333333333,0.333333333333333
"881","PA(P-16:0e/18:2(9Z,12Z))","C15647",13,40,0.325,0.325
"576","Flavin Mononucleotide","C00061",9,28,0.321428571428571,0.321428571428571
"337","Androsterone","C00523",6,19,0.315789473684211,0.315789473684211
"1046","Thiamine pyrophosphate","C00068",5,16,0.3125,0.3125
"456","D-Glucose","C00031",8,26,0.307692307692308,0.307692307692308
"502","Dermatan","C00426",4,13,0.307692307692308,0.307692307692308
"851","Nicotinic acid mononucleotide","C01185",4,13,0.307692307692308,0.307692307692308
"873","Oxidized glutathione","C00127",4,13,0.307692307692308,0.307692307692308
"167","3-Phosphoglyceric acid","C00597",3,10,0.3,0.3
"433","Creatine","C00300",3,10,0.3,0.3
"615","Glucose 6-phosphate","C00092",6,20,0.3,0.3
"626","Glyceric acid 1,3-biphosphate","C00236",3,10,0.3,0.3
"679","Hyodeoxycholic acid","None",3,10,0.3,0.3
"961","Quetiapine","C07397",3,10,0.3,0.3
"1057","Thyroxine","C01829",3,10,0.3,0.3
"1029","Testosterone","C00535",19,64,0.296875,0.296875
"57","15(S)-HETE","C04742",2,7,0.285714285714286,0.285714285714286
"642","Guanosine","C00387",2,7,0.285714285714286,0.285714285714286
"690","Inositol 1,3,4,5-tetraphosphate","C01272",2,7,0.285714285714286,0.285714285714286
"773","Malonyl-CoA","C00083",4,14,0.285714285714286,0.285714285714286
"834","N5-Formyl-THF","C03479",2,7,0.285714285714286,0.285714285714286
"849","Nicotinate D-ribonucleoside","C05841",2,7,0.285714285714286,0.285714285714286
"886","Pantetheine","C00831",2,7,0.285714285714286,0.285714285714286
"888","Pantoprazole","C11806",2,7,0.285714285714286,0.285714285714286
"963","Quinone","C00472",2,7,0.285714285714286,0.285714285714286
"894","PE(O-18:1(1Z)/20:4(5Z,8Z,11Z,14Z))","C00350",11,39,0.282051282051282,0.282051282051282
"1086","Uridine diphosphate glucuronic acid","C00167",7,25,0.28,0.28
"149","3-Methoxy-4-hydroxyphenylglycol glucuronide","C03033",3,11,0.272727272727273,0.272727272727273
"323","Alpha-D-Glucose","C00267",6,22,0.272727272727273,0.272727272727273
"493","Deoxycytidine","C00881",3,11,0.272727272727273,0.272727272727273
"660","Histamine","C00388",3,11,0.272727272727273,0.272727272727273
"760","Loperamide","C07080",3,11,0.272727272727273,0.272727272727273
"848","Nicotinamide ribotide","C00455",3,11,0.272727272727273,0.272727272727273
"1065","Trichloroethanol glucuronide","C14869",3,11,0.272727272727273,0.272727272727273
"361","Beta-D-Glucose","C00221",4,15,0.266666666666667,0.266666666666667
"896","PE(P-16:0e/16:0)","C04756",10,38,0.263157894736842,0.263157894736842
"672","Hydrogen sulfide","C00283",7,27,0.259259259259259,0.259259259259259
"932","Progesterone","C00410",9,35,0.257142857142857,0.257142857142857
"13","(R)-lipoic acid","C00725",2,8,0.25,0.25
"176","3a,7a-Dihydroxy-5b-24-oxocholestanoyl-CoA","C05449",1,4,0.25,0.25
"182","3a,7a-Dihydroxycoprostanic acid","None",3,12,0.25,0.25
"190","4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoic acid","C05645",1,4,0.25,0.25
"193","4-Coumaryl alcohol","C02646",1,4,0.25,0.25
"198","4-Hydroxy-L-proline","C01015",1,4,0.25,0.25
"257","5(S)-Hydroperoxyeicosatetraenoic acid","C05356",2,8,0.25,0.25
"264","6-Phosphogluconic acid","C00345",1,4,0.25,0.25
"281","7a,12a-Dihydroxy-cholestene-3-one","C05457",1,4,0.25,0.25
"295","Acetylcysteine","C06809",1,4,0.25,0.25
"324","Alpha-D-Glucose 1,6-bisphosphate","C01231",1,4,0.25,0.25
"363","Betaine","C00719",1,4,0.25,0.25
"366","Bilirubin diglucuronide","C05787",3,12,0.25,0.25
"367","Biliverdin","C00500",1,4,0.25,0.25
"377","Calcidiol","C01561",1,4,0.25,0.25
"389","CDP-DG(16:0/16:0)","None",1,4,0.25,0.25
"400","Chenodeoxyglycocholoyl-CoA","None",1,4,0.25,0.25
"419","Citrulline","C00327",3,12,0.25,0.25
"440","Cysteinylglycine","C01419",1,4,0.25,0.25
"471","D-Sedoheptulose 7-phosphate","C00281",1,4,0.25,0.25
"487","Dehydroascorbic acid","C00425",1,4,0.25,0.25
"489","Deoxyadenosine","C00559",2,8,0.25,0.25
"521","Dihydrofolic acid","C00415",1,4,0.25,0.25
"522","Dihydrolipoamide","C00579",1,4,0.25,0.25
"633","Glycocholic acid","C01921",1,4,0.25,0.25
"676","Hydroxyphenylacetylglycine","C05596",1,4,0.25,0.25
"724","L-Fucose","C01019",1,4,0.25,0.25
"747","Leukotriene C4","C02166",1,4,0.25,0.25
"758","Lithocholic acid glycine conjugate","C15557",1,4,0.25,0.25
"761","Loratadine","C06818",1,4,0.25,0.25
"798","N-Acetyl-b-D-galactosamine","C05021",1,4,0.25,0.25
"806","N-Acetyl-L-methionine","C02712",1,4,0.25,0.25
"817","N-Acetylserine","None",1,4,0.25,0.25
"942","Protoporphyrin IX","C02191",1,4,0.25,0.25
"952","Pyridoxine 5'-phosphate","C00627",1,4,0.25,0.25
"971","Ribose 1-phosphate","C00620",1,4,0.25,0.25
"1026","Taurine","C00245",2,8,0.25,0.25
"320","All-trans-retinoic acid","C00777",12,49,0.244897959183673,0.244897959183673
"548","Dopamine","C03758",6,25,0.24,0.24
"208","4-Nitrophenol","C00870",3,13,0.230769230769231,0.230769230769231
"569","Etiocholanolone","C04373",3,13,0.230769230769231,0.230769230769231
"68","1b-Hydroxycholic acid","None",2,9,0.222222222222222,0.222222222222222
"362","Beta-D-Glucose 6-phosphate","C01172",2,9,0.222222222222222,0.222222222222222
"673","Hydroxycobalamin","C08230",2,9,0.222222222222222,0.222222222222222
"895","PE(P-16:0e/0:0)","None",6,27,0.222222222222222,0.222222222222222
"1078","Urea","C00086",2,9,0.222222222222222,0.222222222222222
"335","Androstenedione","C00280",9,41,0.219512195121951,0.219512195121951
"93","2-Methoxyestradiol","C05302",3,14,0.214285714285714,0.214285714285714
"94","2-Methoxyestrone","C05299",3,14,0.214285714285714,0.214285714285714
"862","Olanzapine","C07322",3,14,0.214285714285714,0.214285714285714
"254","5,6-Epoxy-8,11,14-eicosatrienoic acid","C14768",5,25,0.2,0.2
"328","Aminoadipic acid","C00956",1,5,0.2,0.2
"399","Chenodeoxyglycocholic acid","C05462",2,10,0.2,0.2
"401","Chitin","C00461",1,5,0.2,0.2
"492","Deoxycholic acid","C04483",2,10,0.2,0.2
"518","Dihydrobiopterin","C02953",2,10,0.2,0.2
"623","Glutaryl-CoA","C00527",1,5,0.2,0.2
"674","Hydroxykynurenine","C02794",1,5,0.2,0.2
"731","L-Lactic acid","C00186",1,5,0.2,0.2
"754","Lipoamide","C00248",1,5,0.2,0.2
"804","N-Acetyl-L-alanine","None",1,5,0.2,0.2
"826","N,N-Dimethylaniline","C02846",1,5,0.2,0.2
"874","Oxoadipic acid","C00322",1,5,0.2,0.2
"988","Sarcosine","C00213",1,5,0.2,0.2
"1012","Squalene","C00751",1,5,0.2,0.2
"340","Aniline","C00292",5,27,0.185185185185185,0.185185185185185
"889","Parathion","C06604",5,27,0.185185185185185,0.185185185185185
"58","15(S)-HPETE","C05966",6,33,0.181818181818182,0.181818181818182
"185","3a,7a,12a-Trihydroxy-5b-cholestanoic acid","C04722",2,11,0.181818181818182,0.181818181818182
"63","17a-Hydroxypregnenolone","C05138",1,6,0.166666666666667,0.166666666666667
"66","19-Hydroxyandrost-4-ene-3,17-dione","C05290",4,24,0.166666666666667,0.166666666666667
"222","4a-Hydroxytetrahydrobiopterin","C15522",1,6,0.166666666666667,0.166666666666667
"429","Cortexolone","C05488",1,6,0.166666666666667,0.166666666666667
"481","Danazol","C06938",1,6,0.166666666666667,0.166666666666667
"795","Myoinositol","C00137",1,6,0.166666666666667,0.166666666666667
"999","Sertraline","C07246",1,6,0.166666666666667,0.166666666666667
"1067","Tridecanoyl-CoA","None",1,6,0.166666666666667,0.166666666666667
"1077","Uracil","C00106",1,6,0.166666666666667,0.166666666666667
"67","19-Oxotestosterone","C05295",4,25,0.16,0.16
"365","Bilirubin","C00486",3,19,0.157894736842105,0.157894736842105
"1035","Tetrahydrobiopterin","C00272",2,13,0.153846153846154,0.153846153846154
"103","2-Phospho-D-glyceric acid","C00631",1,7,0.142857142857143,0.142857142857143
"220","4a-Carbinolamine tetrahydrobiopterin","C00268",1,7,0.142857142857143,0.142857142857143
"746","Leukotriene B4","C02165",1,7,0.142857142857143,0.142857142857143
"987","Sapropterin","C00272",1,7,0.142857142857143,0.142857142857143
"777","Melatonin","C01598",2,15,0.133333333333333,0.133333333333333
"62","17-Hydroxyprogesterone","C01176",1,8,0.125,0.125
"488","Dehydroepiandrosterone","C01227",1,9,0.111111111111111,0.111111111111111
"722","L-Dopa","C00355",1,13,0.0769230769230769,0.0769230769230769
"45","11b-Hydroxyprogesterone","C05498",0,5,0,0
"47","11b,17a,21-Trihydroxypreg-nenolone","C05489",0,4,0,0
"64","17a,21-Dihydroxypreg-nenolone","C05487",0,6,0,0
"76","2-(a-Hydroxyethyl)thiamine diphosphate","C05125",0,5,0,0
"88","2-Hydroxyestradiol","C05301",0,3,0,0
"107","2,3-Diphosphoglyceric acid","C01159",0,4,0,0
"112","20-Hydroxy-leukotriene B4","C04853",0,4,0,0
"113","20-Hydroxyeicosatetraenoic acid","C14748",0,5,0,0
"116","21-Deoxycortisol","C05497",0,5,0,0
"117","21-Hydroxypregnenolone","C05485",0,4,0,0
"144","3-hydroxyoctadecanoyl-CoA","C16217",0,3,0,0
"230","5-Aminolevulinic acid","C00430",0,3,0,0
"231","5-Androstenediol","C04295",0,6,0,0
"236","5-Hydroxy-L-tryptophan","C01017",0,3,0,0
"242","5-L-Glutamyl-taurine","C05844",0,3,0,0
"280","7a,12a-Dihydroxy-5b-cholestan-3-one","C05453",0,3,0,0
"349","Asymmetric dimethylarginine","C03626",0,3,0,0
"402","Chitobiose","C01674",0,3,0,0
"423","Cob(II)alamin","C00541",0,3,0,0
"438","Cysteamine","C01678",0,4,0,0
"536","DL-Dopa","C00355",0,3,0,0
"634","Glycolic acid","C00160",0,5,0,0
"680","Hyperforin","C07608",0,5,0,0
"683","Hypusine","None",0,3,0,0
"748","Leukotriene D4","C05951",0,3,0,0
"785","Methylarsonate","C07294",0,3,0,0
"797","N-(o)-Hydroxyarginine","C05933",0,3,0,0
"866","OPC4-CoA","C16335",0,3,0,0
"977","S-Acetyldihydrolipoamide-E","C16255",0,6,0,0
"982","S-Glutaryldihydrolipoamide","C06157",0,3,0,0
"1022","Sulfite","C00094",0,3,0,0
"1050","Thiosulfate","C00320",0,3,0,0
"1061","Trans-2-all-cis-6,9,12,15,18,21-tetracosaheptaenoyl-CoA","C16374",0,3,0,0
"1075","UDP-D-Xylose","C00190",0,3,0,0
"1076","Undecaprenyl diphosphate","C03543",0,7,0,0
