Metabolite	SMILES	KEGG	Gene Name
Citric acid	OC(=O)CC(O)(CC(O)=O)C(O)=O	C00158	APRT
Citric acid	OC(=O)CC(O)(CC(O)=O)C(O)=O	C00158	AKR1B1
Citric acid	OC(=O)CC(O)(CC(O)=O)C(O)=O	C00158	MDH2
Citric acid	OC(=O)CC(O)(CC(O)=O)C(O)=O	C00158	GNMT
Citric acid	OC(=O)CC(O)(CC(O)=O)C(O)=O	C00158	BHMT
Citric acid	OC(=O)CC(O)(CC(O)=O)C(O)=O	C00158	ITPA
Citric acid	OC(=O)CC(O)(CC(O)=O)C(O)=O	C00158	UCK2
Citric acid	OC(=O)CC(O)(CC(O)=O)C(O)=O	C00158	HS3ST3A1
Citric acid	OC(=O)CC(O)(CC(O)=O)C(O)=O	C00158	RIMKLB
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	PC
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	GOT1
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	PCK1
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	MDH1
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	CS
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	ACLY
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	MDH2
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	GOT2
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	DDO
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	GOT1L1
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	ASPDH
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	ME2
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	ME3
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	ME1
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	NIT2
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	IL4I1
Oxalacetic acid	OC(=O)CC(=O)C(O)=O	C00036	PCK2
Nandrolone	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]	C07254	AR
Nicotinic acid adenine dinucleotide	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)[N+]4=CC=CC(=C4)C(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	C00857	NMNAT2
Nicotinic acid adenine dinucleotide	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)[N+]4=CC=CC(=C4)C(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	C00857	ENPP1
Nicotinic acid adenine dinucleotide	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)[N+]4=CC=CC(=C4)C(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	C00857	NUDT12
Nicotinic acid adenine dinucleotide	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)[N+]4=CC=CC(=C4)C(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	C00857	NADSYN1
Nicotinic acid adenine dinucleotide	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)[N+]4=CC=CC(=C4)C(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	C00857	NMNAT3
Nicotinic acid adenine dinucleotide	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)[N+]4=CC=CC(=C4)C(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	C00857	ENPP3
Nicotinic acid adenine dinucleotide	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)[N+]4=CC=CC(=C4)C(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	C00857	NMNAT1
12(R)-HPETE	CCCCC\C=C/C[C@@H](OO)\C=C\C=C/C\C=C/CCCC(O)=O	C14812	ALOX12B
Ethyl p-anisate	CCOC(=O)C1=CC=C(OC)C=C1	None	CYP2D6
L-Cystine	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	C00491	CTH
L-Cystine	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	C00491	SLC3A1
L-Cystine	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	C00491	CTNS
L-Cystine	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	C00491	SLC7A9
L-Cystine	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	C00491	SLC1A4
L-Cystine	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	C00491	SLC7A11
L-Cystine	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	C00491	SLC16A10
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PPAP2A
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	SPHK2
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	SPHK1
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PPAP2C
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	SPHK1
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	ASAH2
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	ACER1
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	ASAH1
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	ACER2
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	S1PR1
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	S1PR3
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	S1PR5
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	S1PR4
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	S1PR2
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	GPR6
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGK
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGA
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	GBA2
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGU
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGT
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	GBGT1
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGM
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGS
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	B3GNT5
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGZ
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGQ
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGW
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGB
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGN
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGO
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGY
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGC
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGP
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGV
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	B3GALT5
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	NPC2
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGG
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGH
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGL
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	GPAA1
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGF
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PLEKHA9
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	GLTPD2
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PLEKHA8
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	CD1A
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PIGX
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	GM2A
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	GLTPD1
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	CD1C
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	LBP
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	DKFZp434L0435
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	CD1B
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	GLTP
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	CD1E
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PLEKHA8
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	CD1D
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	PPAP2B
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	SGPP2
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	ASAH2C
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	CERS1
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	CERS2
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	CERS3
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	CERS4
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	CERS5
Sphingosine	CCCCCCCCCCCCC\C=C\C(O)C(N)CO	C00319	CERS6
Thiocysteine	N[C@H](CSS)C(O)=O	C01962	CTH
3-Methylcrotonyl-CoA	CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	C03069	IVD
3-Methylcrotonyl-CoA	CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	C03069	ACADM
3-Methylcrotonyl-CoA	CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	C03069	MCCC1
3-Methylcrotonyl-CoA	CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	C03069	HADHB
3-Methylcrotonyl-CoA	CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	C03069	ECHS1
3-Methylcrotonyl-CoA	CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	C03069	MCCC2
3-Methylcrotonyl-CoA	CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	C03069	HADHA
3-Methylcrotonyl-CoA	CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	C03069	EHHADH
3-Methylcrotonyl-CoA	CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	C03069	ACAA1
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	SERPIND1
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	APP
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	FGFR1
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	HPSE
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	FGF1
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	FGF2
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	PTN
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	SERPINC1
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	AZU1
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	HBEGF
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	FGF4
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	RPL29
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	RPL22
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	FGF5
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	FGF6
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	FGF7
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	FGFBP1
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	HDGF
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	FN1
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	FGF8
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	FGF3
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	APOB
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	APOE
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	APLP1
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	MDK
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	VEGFA
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	UGT1A1
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	UGT1A6
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	UGT1A9
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	UGT2B4
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	UGT2B7
Heparin	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O	C00374	UGT1A4
D-Ribose 5-phosphate	OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	C00117	RPIA
